filename, language, JSON, JavaScript, Markdown, TypeScript, comment, blank, total
c:\Users\djackson\Desktop\repos\archie_server\.eslintrc.js, JavaScript, 0, 47, 0, 0, 7, 1, 55
c:\Users\djackson\Desktop\repos\archie_server\README.md, Markdown, 0, 0, 15, 0, 0, 3, 18
c:\Users\djackson\Desktop\repos\archie_server\config\cors.js, JavaScript, 0, 13, 0, 0, 1, 2, 16
c:\Users\djackson\Desktop\repos\archie_server\config\file.config.js, JavaScript, 0, 7, 0, 0, 0, 1, 8
c:\Users\djackson\Desktop\repos\archie_server\config\index.js, JavaScript, 0, 9, 0, 0, 0, 1, 10
c:\Users\djackson\Desktop\repos\archie_server\config\mail.js, JavaScript, 0, 25, 0, 0, 1, 4, 30
c:\Users\djackson\Desktop\repos\archie_server\datasources\i360API.js, JavaScript, 0, 189, 0, 0, 11, 33, 233
c:\Users\djackson\Desktop\repos\archie_server\express.js, JavaScript, 0, 86, 0, 0, 8, 22, 116
c:\Users\djackson\Desktop\repos\archie_server\models\file.js, JavaScript, 0, 18, 0, 0, 0, 3, 21
c:\Users\djackson\Desktop\repos\archie_server\models\group.js, JavaScript, 0, 12, 0, 0, 0, 2, 14
c:\Users\djackson\Desktop\repos\archie_server\models\organization.js, JavaScript, 0, 18, 0, 0, 0, 2, 20
c:\Users\djackson\Desktop\repos\archie_server\models\user.js, JavaScript, 0, 59, 0, 0, 5, 6, 70
c:\Users\djackson\Desktop\repos\archie_server\mssql\dtDistricts.js, JavaScript, 0, 30, 0, 0, 0, 1, 31
c:\Users\djackson\Desktop\repos\archie_server\mssql\dtInfogroupVoterFile.js, JavaScript, 0, 2496, 0, 0, 1, 2, 2499
c:\Users\djackson\Desktop\repos\archie_server\mssql\dtVoterFile.js, JavaScript, 0, 1131, 0, 0, 12, 3, 1146
c:\Users\djackson\Desktop\repos\archie_server\mssql\index.js, JavaScript, 0, 49, 0, 0, 3, 12, 64
c:\Users\djackson\Desktop\repos\archie_server\mssql\wpaiNationalFlags.js, JavaScript, 0, 793, 0, 0, 2, 3, 798
c:\Users\djackson\Desktop\repos\archie_server\mssql\wpaiNationalFlagsSummary.js, JavaScript, 0, 828, 0, 0, 2, 2, 832
c:\Users\djackson\Desktop\repos\archie_server\mssql\wpaiTopIssueSegments.js, JavaScript, 0, 95, 0, 0, 1, 4, 100
c:\Users\djackson\Desktop\repos\archie_server\mssql\wpaiTopIssueSegmentsSummary.js, JavaScript, 0, 111, 0, 0, 1, 4, 116
c:\Users\djackson\Desktop\repos\archie_server\package-lock.json, JSON, 11822, 0, 0, 0, 0, 1, 11823
c:\Users\djackson\Desktop\repos\archie_server\package.json, JSON, 67, 0, 0, 0, 0, 0, 67
c:\Users\djackson\Desktop\repos\archie_server\resolvers\mutations.js, JavaScript, 0, 93, 0, 0, 3, 18, 114
c:\Users\djackson\Desktop\repos\archie_server\resolvers\queries.js, JavaScript, 0, 23, 0, 0, 0, 6, 29
c:\Users\djackson\Desktop\repos\archie_server\resolvers\resolvers.js, JavaScript, 0, 64, 0, 0, 1, 2, 67
c:\Users\djackson\Desktop\repos\archie_server\routes\api.js, JavaScript, 0, 28, 0, 0, 2, 7, 37
c:\Users\djackson\Desktop\repos\archie_server\schema\index.js, JavaScript, 0, 183, 0, 0, 3, 3, 189
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\README.md, Markdown, 0, 0, 55, 0, 0, 15, 70
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\index.js, JavaScript, 0, 2, 0, 0, 5, 2, 9
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\associations\base.js, JavaScript, 0, 36, 0, 0, 95, 14, 145
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\associations\belongs-to-many.js, JavaScript, 0, 546, 0, 0, 151, 123, 820
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\associations\belongs-to.js, JavaScript, 0, 162, 0, 0, 45, 46, 253
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\associations\has-many.js, JavaScript, 0, 317, 0, 0, 93, 78, 488
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\associations\has-one.js, JavaScript, 0, 183, 0, 0, 45, 51, 279
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\associations\helpers.js, JavaScript, 0, 46, 0, 0, 15, 9, 70
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\associations\index.js, JavaScript, 0, 9, 0, 0, 0, 4, 13
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\associations\mixin.js, JavaScript, 0, 86, 0, 0, 9, 30, 125
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\data-types.js, JavaScript, 0, 650, 0, 0, 343, 62, 1055
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\deferrable.js, JavaScript, 0, 53, 0, 0, 37, 14, 104
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\abstract\connection-manager.js, JavaScript, 0, 234, 0, 0, 77, 36, 347
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\abstract\index.js, JavaScript, 0, 60, 0, 0, 6, 8, 74
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\abstract\query-generator.js, JavaScript, 0, 2015, 0, 0, 264, 375, 2654
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\abstract\query-generator\helpers\quote.js, JavaScript, 0, 38, 0, 0, 40, 10, 88
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\abstract\query-generator\operators.js, JavaScript, 0, 76, 0, 0, 0, 9, 85
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\abstract\query-generator\transaction.js, JavaScript, 0, 36, 0, 0, 31, 14, 81
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\abstract\query.js, JavaScript, 0, 530, 0, 0, 135, 77, 742
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\mariadb\connection-manager.js, JavaScript, 0, 107, 0, 0, 24, 15, 146
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\mariadb\data-types.js, JavaScript, 0, 105, 0, 0, 5, 13, 123
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\mariadb\index.js, JavaScript, 0, 59, 0, 0, 0, 4, 63
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\mariadb\query-generator.js, JavaScript, 0, 30, 0, 0, 0, 9, 39
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\mariadb\query.js, JavaScript, 0, 263, 0, 0, 26, 37, 326
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\mssql\connection-manager.js, JavaScript, 0, 140, 0, 0, 16, 25, 181
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\mssql\data-types.js, JavaScript, 0, 180, 0, 0, 19, 18, 217
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\mssql\index.js, JavaScript, 0, 58, 0, 0, 0, 6, 64
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\mssql\query-generator.js, JavaScript, 0, 692, 0, 0, 65, 143, 900
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\mssql\query-interface.js, JavaScript, 0, 42, 0, 0, 22, 5, 69
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\mssql\query.js, JavaScript, 0, 314, 0, 0, 27, 49, 390
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\mssql\resource-lock.js, JavaScript, 0, 20, 0, 0, 0, 6, 26
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\mysql\connection-manager.js, JavaScript, 0, 112, 0, 0, 30, 18, 160
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\mysql\data-types.js, JavaScript, 0, 120, 0, 0, 9, 12, 141
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\mysql\index.js, JavaScript, 0, 57, 0, 0, 0, 4, 61
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\mysql\query-generator.js, JavaScript, 0, 539, 0, 0, 0, 3, 542
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\mysql\query-interface.js, JavaScript, 0, 55, 0, 0, 27, 10, 92
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\mysql\query.js, JavaScript, 0, 221, 0, 0, 25, 34, 280
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\parserStore.js, JavaScript, 0, 20, 0, 0, 0, 4, 24
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\postgres\connection-manager.js, JavaScript, 0, 238, 0, 0, 36, 47, 321
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\postgres\data-types.js, JavaScript, 0, 438, 0, 0, 35, 54, 527
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\postgres\hstore.js, JavaScript, 0, 12, 0, 0, 0, 4, 16
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\postgres\index.js, JavaScript, 0, 66, 0, 0, 0, 6, 72
